股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
002713,东易日盛,419536980.0,406122654.0,2320039499.4,2245858276.62,装修装饰,20140219
600375,汉马科技,654314844.0,654314844.0,3323919407.52,3323919407.52,工程机械,20030401
688221,前沿生物-U,374578653.0,214639153.0,2565863773.0499997,1470278198.05,化学制药,20201028
600165,宁科生物,684883775.0,684883775.0,2712139749.0,2712139749.0,化学制品,19980529
601929,吉视传媒,3489788168.0,3489788168.0,5374273778.72,5374273778.72,文化传媒,20120223
600460,士兰微,1664071845.0,1416071845.0,32399478822.149998,27570918822.149998,半导体,20030311
688373,盟科药业-U,655210084.0,345307508.0,3715041176.2799997,1957893570.36,生物制品,20220805
688302,海创药业-U,99015598.0,71734059.0,3051660730.36,2210843698.38,生物制品,20220412
002717,岭南股份,1679471250.0,1460584522.0,3929962724.9999995,3417767781.48,环保行业,20140219
002068,黑猫股份,741412396.0,734712946.0,6813579919.24,6752011973.74,橡胶制品,20060915
000930,中粮科技,1864720561.0,1856433959.0,10740790431.359999,10693059603.84,农牧饲渔,19990712
301260,格力博,489259543.0,212330870.0,6066818333.2,2632902788.0,专用设备,20230208
002793,罗欣药业,1087588486.0,1085939094.0,5002907035.599999,4995319832.4,化学制药,20160415
600326,西藏天路,1229405643.0,1227611627.0,4733211725.55,4726304763.95,水泥建材,20010116
600227,赤天化,1693134201.0,1278179547.0,3521719138.08,2658613457.76,化学制药,20000221
300527,中船应急,963241725.0,963241725.0,6424822305.75,6424822305.75,专用设备,20160805
002490,山东墨龙,797848400.0,541582500.0,2704706076.0,1835964675.0,专用设备,20101021
300027,华谊兄弟,2774505919.0,2417762293.0,6214893258.56,5415787536.320001,文化传媒,20091030
300203,聚光科技,448737600.0,448475100.0,5977184832.0,5973688332.0,环保行业,20110415
300379,东方通,566722828.0,566722828.0,6987692469.24,6987692469.24,软件开发,20140128
603818,曲美家居,702098455.0,580395546.0,2682016098.1,2217110985.72,装修建材,20150422
688031,星环科技-U,120842068.0,92470272.0,6247534915.6,4780713062.400001,软件开发,20221018
600626,申达股份,1320744667.0,852291316.0,4041478681.02,2608011426.96,汽车零部件,19930107
300761,立华股份,827644501.0,604899090.0,17413640301.04,12727076853.6,农牧饲渔,20190218
688326,经纬恒润-W,120000000.0,78730345.0,9319200000.0,6114198592.7,汽车零部件,20220419
688047,龙芯中科,401000000.0,278414729.0,34991260000.0,24294469252.54,半导体,20220624
688158,优刻得-W,453095081.0,378835372.0,5899297954.62,4932436543.44,互联网服务,20200120
600185,格力地产,1885005795.0,1885005795.0,11046133958.7,11046133958.7,房地产开发,19990611
